date,content,url
2025-05-27 16:37:00,近期大盘不好，但短线其实蛮好做的[img]./mon_202505/27/jmQmm44-77kcZcT1kShs-12j.jpg[/img]就找那些有辨识度，近期有过涨停，题材热门，放量断板后然后缩量深水低吸，成功率挺高的,https://nga.178.com/read.php?tid=44198753&page=1
2025-05-27 21:22:00,高位抱团今日最强板块是化工和核电1 中超控股  核电 军工 机器人 算力2 永安药业 医药 消费 化工 重组3 苏州龙杰 化工 军工 消费这三个是高位抱团龙头如果明天1强，则看核电 机器人 ：合锻，百利，永鼎等2强，则看医药食品消费：丽人 京华 会稽山3强，则看纺织化工：海龙 三峡1、3强，还可以看看 军工核电高位：成飞 王子 利君1、2强 还可以看重组的辨识度：天雁 中欣2、3强 还可以看化工消费：先达 红宝丽 新金路如果明天三个都强，高位抱团就继续跳舞继续反正就是属性叠加化工还要看汇得科技反馈，这个爆炸大范围是发酵题材所以重视化工： 作为机器人爱好者，所以我准备低吸 中欣，其他看情况,https://nga.178.com/read.php?tid=44198753&page=1
2025-05-28 15:11:00,今天永安强，所以低吸消费，丽人没吸到，会稽山太高了，只能买京城和浪莎[img]./mon_202505/28/jmQkl2-guw6ZcT1kShs-12j.jpg[/img][img]./mon_202505/28/jmQkl2-bfh4ZdT1kShs-12j.jpg[/img],https://nga.178.com/read.php?tid=44198753&page=1
2025-05-28 22:52:00,缩量行情下，农药厂爆炸并没有加强化工板块，反而是吸走了板块内的短线资金，导致今天开盘汇得科技就到水下，高位负反馈导致化工承压，龙杰也走的非常纠结，所以今天不应该去化工了，但尾盘和滨海能源的地天代表了化工的反包属性，不过板块预期不高了，更多是个股的抱团中超同样表现很弱。但是今天核电板块却走得很强，原因还是中超属性太杂。最早是外骨骼，然后又是军工 核电只是它的一个小属性，不过今天释放了大量分歧，明天依然有预期 核电板块明天也要渡劫了，先看尚玮股份代表的高度票能否打破五进六压制，再看王子新材能否继续阳线趋势，融发盘子大一旦开板感觉很难封住，买点可能在后天，而雪人和合锻明天预期低开，有低吸机会永安全天都走的很强甚至去挑战异动，所以消费板块走的不错，可惜开盘没低吸到丽人，会稽山又太高。只能低吸京城和浪莎，明天丽人如果深水有低吸博弈机会无人驾驶不知不觉走出321梯队，明天若能继续形成4321板块效应，博弈湘邮低吸反包的机会总结：明日主要看核电新消费和无人驾驶低吸标的：中超 王子 丽人 合锻 湘邮核电强 吸王子 中超 合锻消费强 吸丽人无人驾驶强 吸湘邮做好预案，只低吸，不追高，不买随手单,https://nga.178.com/read.php?tid=44198753&page=2
2025-05-29 10:41:00,今天的预案可谓做的完美。若是按照计划实施，丽人 中超 合锻 雪人都有十个点的收益，不过因为九点半接了个电话，所以错过了买点，所以只能目送了，真是计划赶不上变化啊，只能买了点鸿博和湘邮了[img]./mon_202505/29/jmQkl3-5eviZbT1kShs-12j.jpg[/img],https://nga.178.com/read.php?tid=44198753&page=2
2025-05-29 11:40:00,"[quote][pid=825314904,44198753,2]Reply[/pid] [b]Post by [uid=662700]4口四口[/uid] (2025-05-29 11:35):[/b]这种第二天就卖吗 继续找低的吸？[/quote]这个看情况吧王子 丽人这种走趋势的可以每天做t一般来说断板当日是卖点后续缩量水下是买点",https://nga.178.com/read.php?tid=44198753&page=2
2025-05-29 14:38:00,"[quote][pid=825064203,44198753,1]Reply[/pid] [b]Post by [uid=66735710]cerax321[/uid] (2025-05-27 17:25):[/b]a大是潭里专门做短板反包的 都自闭了。。 成绩量不够 啥都玩不起来 短线也会集中到前排 你低吸的也可能会被资金放弃[/quote]a大最近潜心修炼天天被我嘲讽哈哈",https://nga.178.com/read.php?tid=44198753&page=3
2025-05-29 15:18:00,昨天复盘五个标的：中超 王子 丽人 合锻 湘邮外加晚上英伟达利好，早上追加的鸿博6个票今天板了5个丽人也一度涨停，但是尾盘被京华带下来了今天的预案可谓做的完美。若是按照计划实施，今天应该能赚接近十个点，不过因为九点半接了个电话，所以错过了买点，所以只能目送中超合锻了，真是计划赶不上变化啊，只能买了点王子，鸿博和湘邮了，买点也不理想[img]./mon_202505/29/jmQ95ds-j8p8ZcT1kShs-12j.jpg.medium.jpg[/img][img]./mon_202505/29/jmQ95ds-1gk6ZcT1kShs-12j.jpg.medium.jpg[/img][img]./mon_202505/29/jmQ95ds-3zwiZbT1kShs-12j.jpg.medium.jpg[/img],https://nga.178.com/read.php?tid=44198753&page=3
2025-05-29 22:28:00,今天的盘面不用分析了，昨天选了6个票全上板了，不过丽人最后炸了，这么恐怖的上板率不是我牛逼，而是盘面高潮了至于高位抱团，只看丽人和中超了，丽人主力太坏了，丽人的老庄太坏了，昨天顶板永安，今天告王子黑状，中超的手法疑似那个男人高位抱团瓦解后，流动性释放出来，题材股连板梯队自然就更好走了，既然今天高潮，明日必然大分歧，题材连板梯队中无人驾驶已经走出了4321梯队，下午的稳定币诞生大量首板，再加上今天核电的高潮，智能驾驶 核电 稳定币，这三个本日最强题材的本质是什么？本质就是中美政策一致，核电，中美都要加强发展；无人驾驶，中美都在推进：稳定币，美国新出的天才法案将稳定币与国债挂钩，香港这边也开始推进稳定币。所以目前核电高潮高度是六板，无人驾驶高度是四板，稳定币高度是两板综合风险和潜力，博弈稳定币是一个更优的选项这里提一个湘邮股份，同时有数字货币和智能物流概念，今天强势断板反包，还有跨境电商人工智能国企改革等热门概念，堪称是永安之后的新一代概念王另外连云港盘后利好，可能还会带动一下港口，节后厦门的海洋经济政策，厦门港务加入观察，不过这属于支线，意义不大明日大分歧，追高容易被兑现，重点关注 御银股份，这个票我4月21日就选出来了，当时它是零售概念，零售+互金+区块链+物业完美题材一身，没资金做...A佬当时认为这个票形态有点问题，不过上板很早。所以上板早也是龙头的必要股性至于化工，暂时可以取消关注了另外马上过节了，肯定也会有资金博弈跨节龙，所以大分歧后也是有大机会至于今天反弹的算力和机器人，本质还是被核电题材带动的，为什么核电板块融发核电不如合锻智能和中超控股？那是因为中超控股和合锻智能，除了核能属性，还有机器人和算力属性，而电缆方面，叠加机器人和算力的远东股份也上板了，加上现在板块高度也是线缆，这一波就是核电带动线缆带动算力加机器人了，不过远东股份这种叠加机器人算力核电属性的低位股也可以看看结论：明天大分歧，追高易被兑现，只关注前排辨识度连板，标的：御银股份，湘邮科技，中超股份丽人丽妆 远东股份 厦门港务管住手，别做随手单,https://nga.178.com/read.php?tid=44198753&page=3
2025-05-30 15:19:00,今天的短线情绪被王子新材的黑哨彻底带崩原本昨天高潮日后，今天就是调整预期但是如果没有黑哨，王子今天不会死，核电就不会崩得这么厉害，流动性就不会全部套在核电，无人物流也不会炸得这么惨所以分析盘面和个股已经没有什么意义了柚子见监管不按套路出牌，也就都掀桌子不玩了所以这个时候，才能体会到短线低吸的好处，那就是控制回撤，遇到这种黑天鹅事件短线肯定是亏的，但低吸玩家必然会亏的更少今天尾盘还是博弈了几个票友阿 保税 湘邮 雪龙 连云港 锦泓这样的冰点之后有两个可能，双冰或者修复个人觉得端午缓和一下情绪之后，双冰可能性不大所以先拿个先手博弈节后行情目前来看 核电和无人物流已经凉了稳定币前排大单一字强度还行，看看过节期间会发酵什么题材吧,https://nga.178.com/read.php?tid=44198753&page=3
