代码		    名称		涨幅		现价		当日成交额		3日成交额		5日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额
SH603280	南方路机	+1.49%		38.71		1.25亿		--		--		11.61%		1.61		10.82亿		--		--		工程机械	【海峡两岸;新型城镇化;雄安新区;数字经济;土壤修复;建筑节能;水利;垃圾分类;数字孪生;中俄贸易概念;跨境电商;人工智能;DeepSeek概念;雅下水电概念;碳中和;固废处理;一带一路;海工装备;物联网;工业互联网;核电;机器人概念;机器视觉;AI智能体】	--		--		+2.62%		-8.03%		-0.31		349784		1769047
SH603281	江瀚新材	-2.24%		28.84		9337.87万	--		--		1.28%		1.25		72.59亿		--		--		化学制品	【有机硅概念;硅能源;光伏概念;人民币贬值受益;沪股通】	--		--		+3.82%		+4.76%		+0.95		1346056		4331768
SH603282	亚光股份	+1.78%		20.56		4135.96万	--		--		3.14%		1.13		13.20亿		--		--		环保设备	【污水处理;锂电池概念】	--		--		+3.63%		+4.37%		+0.00		64640		248776
SH603283	赛腾股份	-4.42%		45.21		9.55亿		--		--		7.77%		1.60		122.60亿	--		--		自动化设备	【存储芯片;同花顺果指数;芯片概念;无线耳机;苹果概念;PCB概念;消费电子概念;智能穿戴;特斯拉概念;比亚迪概念;新型工业化;新能源汽车;锂电池概念;光伏概念;长三角一体化;人工智能;融资融券;沪股通】	--		--		+3.57%		+7.46%		-4.88		27178459	4536371
SH603285	键邦股份	+0.84%		25.26		5983.02万	--		--		3.81%		1.16		15.74亿		--		--		化学制品	【锂电池概念;融资融券】	--		--		+1.65%		+3.27%		+0.04		305732		689598
SH603286	日盈电子	-4.07%		66.97		4.66亿		--		--		5.99%		0.78		77.29亿		--		--		汽车零部件	【人形机器人;汽车电子;新型工业化;智能座舱;长安汽车概念;比亚迪概念;新能源汽车;机器人概念;传感器;无人驾驶;智能家居;工业互联网;芯片概念;专精特新;PM2.5】	--		--		+14.05%		+16.88%		-1.16		717600		6402332
SH603288	海天味业	-0.45%		38.02		3.66亿		--		--		0.17%		0.70		2114.14亿	--		--		食品加工制造	【超级品牌;证金持股;同花顺漂亮100;沪股通;融资融券】	--		--		+0.64%		+4.25%		-0.29		1558538		3955563
SH603289	泰瑞机器	+1.18%		10.32		3619.69万	--		--		1.20%		1.03		30.28亿		--		--		专用设备	【新型工业化;地下管网;垃圾分类;长三角一体化;一体化压铸;新能源汽车;高端装备;比亚迪概念】	--		--		+4.77%		+0.39%		+0.00		286620		187824
SH603290	斯达半导	-0.81%		100.17		3.81亿		--		--		1.58%		0.85		239.88亿	--		--		半导体		【MCU芯片;汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;数据中心;光伏概念;低空经济;人民币贬值受益;储能;融资融券;沪股通】	--		--		+6.06%		+2.16%		-0.88		1041040		3706290
SH603291	联合水务	+1.33%		10.63		7904.97万	--		--		5.74%		1.29		13.81亿		--		--		环境治理	【PPP概念;污水处理;人工智能;创投;一带一路;净水概念;沪股通】	--		--		+10.38%		+1.92%		+0.57		244760		780242
SH603296	华勤技术	+2.04%		95.10		18.13亿		--		--		3.27%		1.93		543.19亿	--		--		消费电子	【中国AI 50;AI PC;英伟达概念;华为手机;液冷服务器;无线耳机;AI眼镜;智能音箱;毫米波雷达;智能座舱;消费电子概念;汽车电子;人形机器人;芯片概念;智能穿戴;星闪概念;小米概念;数据中心;东数西算(算力);虚拟现实;华为概念;阿里巴巴概念;抖音概念(字节概念);机器人概念;腾讯概念;智能家居;上海自贸区;医疗器械概念;沪股通;融资融券】	--		--		+3.02%		-2.24%		+0.29		3972475		8226150
SH603297	永新光学	-0.13%		113.65		3.58亿		--		--		2.85%		1.01		125.84亿	--		--		光学光电子	【光刻机;无人驾驶;机器视觉;虚拟现实;芯片概念;商业航天;AI眼镜;智能医疗;共同富裕示范区;沪股通;融资融券】	--		--		+10.41%		+13.75%		-1.58		2732800		1238785
SH603298	杭叉集团	-1.76%		26.83		1.72亿		--		--		0.49%		0.94		351.42亿	--		--		工程机械	【同花顺出海50;人形机器人;新能源汽车;机器人概念;智能物流;5G;宁德时代概念;沪股通;融资融券】	--		--		+0.11%		+2.72%		-0.51		1230801		2878859
SH603299	苏盐井神	+4.64%		11.06		1.98亿		--		--		2.34%		3.06		86.03亿		--		--		化学原料	【NMN概念;天然气;国企改革;储能;钠离子电池;沪股通;融资融券】	--		--		+7.59%		+8.54%		-0.19		196230		1933288
SH603300	海南华铁	+0.39%		7.74		7.47亿		--		--		4.80%		0.69		154.56亿	--		--		多元金融	【海南自贸区;自由贸易港;数字货币;国资云;算力租赁;Web3.0;东数西算(算力);区块链;华为概念;蚂蚁集团概念;数据要素;数据中心;NFT概念;低空经济;职业教育;数字经济;人工智能;DeepSeek概念;无人机;新型城镇化;乡村振兴;回购增持再贷款概念;水利;国企改革;雅下水电概念;沪股通;股权转让(并购重组);融资融券】	--		--		+0.78%		+7.35%		-0.13		3459610		8266320
SH603301	振德医疗	-1.18%		69.42		1.45亿		--		--		0.78%		0.72		184.54亿	--		--		医疗器械	【医药电商;医疗器械概念;跨境电商;人民币贬值受益;沪股通;融资融券】	--		--		-2.46%		-6.27%		+0.47		1150454		1381458
SH603303	得邦照明	+0.77%		13.04		2006.60万	--		--		0.32%		1.26		62.19亿		--		--		光学光电子	【智慧灯杆;人民币贬值受益;智慧城市;新能源汽车;汽车电子;股权转让(并购重组);沪股通】	--		--		+1.88%		+0.54%		-0.39		48982		96496
SH603305	旭升集团	+5.60%		17.36		18.21亿		--		--		9.21%		1.19		200.63亿	--		--		汽车零部件	【减速器;汽车热管理;人形机器人;一体化压铸;特斯拉概念;小米汽车;新能源汽车;比亚迪概念;宁德时代概念;商业航天;储能;沪股通;融资融券】	--		--		+19.07%		+26.90%		+0.06		4536992		22887302
SH603306	华懋科技	-2.47%		64.29		6.93亿		--		--		3.26%		0.76		211.83亿	--		--		汽车零部件	【共封装光学(CPO);光刻胶;特斯拉概念;芯片概念;数据中心;比亚迪概念;新能源汽车;机器人概念;沪股通;回购增持再贷款概念;海峡两岸;福建自贸区;融资融券】	--		--		+4.08%		+26.58%		+0.00		4667136		3831684
SH603307	扬州金泉	+2.28%		40.41		4579.11万	--		--		6.71%		1.34		6.87亿		--		--		服装家纺	【露营经济;体育产业;人民币贬值受益】	--		--		+3.30%		-1.17%		+0.73		286560		412182
SH603308	应流股份	+5.53%		43.90		11.03亿		--		--		3.74%		1.05		298.10亿	--		--		通用设备	【可控核聚变;航空发动机;核电;海工装备;大飞机;商业航天;风电;高端装备;军工;3D打印;核污染防治;无人机;工业互联网;一带一路;参股银行;沪股通;融资融券】	--		--		+7.89%		+5.53%		-0.82		1798936		11058410
SH603309	XD维力医	-6.36%		13.10		3.56亿		--		--		9.35%		2.93		38.24亿		--		--		医疗器械	【医疗器械概念;人民币贬值受益】	--		--		-3.25%		-2.09%		-8.51		12678400	3657520
SH603310	巍华新材	+0.53%		17.13		2760.12万	--		--		0.87%		1.15		31.62亿		--		--		化学制品	【创投;专精特新;氟化工概念;沪股通;融资融券】	--		--		+1.18%		-0.23%		+0.29		177736		310053
SH603311	金海高科	+0.14%		14.76		1.69亿		--		--		4.86%		0.81		34.82亿		--		--		白色家电	【PM2.5;大飞机;回购增持再贷款概念;家用电器;专精特新;新能源汽车;人民币贬值受益】	--		--		+9.09%		+25.40%		+1.56		592812		1929132
SH603312	西典新能	+0.14%		48.52		8076.44万	--		--		3.27%		0.84		24.71亿		--		--		电网设备	【光伏概念;储能;宁德时代概念;风电;锂电池概念;高铁;新能源汽车;比亚迪概念;特斯拉概念;沪股通;融资融券】	--		--		+2.04%		-0.59%		-0.33		280082		1048032
SH603313	梦百合		+4.42%		9.45		1.83亿		--		--		3.43%		2.13		53.92亿		--		--		家居用品	【跨境电商;C2M概念;人民币贬值受益;回购增持再贷款概念;独角兽概念;智能家居;鸿蒙概念;沪股通】	--		--		-1.66%		+1.94%		+0.55		600600		1878934
SH603315	福鞍股份	+4.99%		15.78		2.61亿		--		--		5.20%		1.62		50.55亿		--		--		环境治理	【锂电池概念;宁德时代概念;抽水蓄能;核电;石墨电极;特钢概念;超超临界发电;军工;专精特新;中俄贸易概念;东数西算(算力);算力租赁;俄乌冲突概念】	--		--		+2.53%		+4.99%		-0.20		364500		1402842
SH603316	诚邦股份	-1.09%		15.49		--		--		--		3.75%		0.81		--		--		--		建筑装饰	--		--		--		+11.20%		+0.32%		-0.26		1860342		1750370
SH603317	天味食品	+0.87%		12.82		--		--		--		0.61%		1.48		--		--		--		食品加工制造	--		--		--		+0.55%		+1.02%		-0.08		279400		655102
SH603318	水发燃气	+3.48%		6.84		--		--		--		4.76%		2.30		--		--		--		燃气		--		--		--		+1.79%		+3.17%		-1.06		711552		1408356
SH603319	美湖股份	-0.06%		34.44		--		--		--		3.29%		0.61		--		--		--		汽车零部件	--		--		--		-1.91%		-10.55%		+0.12		2190750		2233090
SH603320	迪贝电气	+1.25%		18.70		--		--		--		1.43%		0.81		--		--		--		电机		--		--		--		+1.03%		-1.27%		+0.00		46175		370260
SH603321	梅轮电梯	+1.46%		8.32		--		--		--		2.35%		1.37		--		--		--		专用设备	--		--		--		+4.39%		+5.58%		-0.85		389427		1421888
SH603322	超讯通信	+1.93%		40.66		--		--		--		6.36%		1.24		--		--		--		IT服务		--		--		--		+4.87%		-21.32%		+0.00		961349		4208310
SH603323	苏农银行	-0.40%		5.03		--		--		--		0.86%		0.87		--		--		--		银行		--		--		--		-2.14%		-2.90%		+0.20		156354		2226781
SH603324	盛剑科技	+0.80%		26.40		--		--		--		3.15%		1.32		--		--		--		环保设备	--		--		--		-0.38%		+10.23%		-0.34		566370		858000
SH603325	博隆技术	+1.93%		81.50		--		--		--		3.72%		2.15		--		--		--		专用设备	--		--		--		+5.69%		+5.91%		-0.04		23979		586800
SH603326	我乐家居	+0.91%		8.86		--		--		--		1.22%		0.96		--		--		--		家居用品	--		--		--		-0.89%		-2.53%		-0.11		77176		351742
SH603327	福蓉科技	+0.45%		11.15		--		--		--		2.40%		0.85		--		--		--		消费电子	--		--		--		+2.67%		-23.26%		-0.45		1001130		5141254
SH603328	依顿电子	-0.09%		11.27		--		--		--		1.75%		1.12		--		--		--		元件		--		--		--		+2.08%		-0.97%		-0.53		381480		1223922
SH603329	上海雅仕	+1.18%		11.14		--		--		--		1.07%		1.10		--		--		--		物流		--		--		--		+0.27%		-2.19%		-0.45		61376		349796
SH603330	天洋新材	+2.92%		7.41		--		--		--		2.10%		1.37		--		--		--		塑料制品	--		--		--		-0.94%		-4.02%		-0.28		86878		391248
SH603331	百达精工	+3.03%		13.60		--		--		--		10.65%		1.00		--		--		--		通用设备	--		--		--		+11.02%		+15.06%		+1.29		1324967		5653520
SH603332	苏州龙杰	+0.66%		13.70		--		--		--		3.46%		0.54		--		--		--		化学纤维	--		--		--		+11.11%		+8.04%		-0.88		357485		3659270
SH603333	尚纬股份	+10.04%		8.99		--		--		--		8.33%		3.51		--		--		--		电网设备	--		--		--		+13.51%		+13.65%		-0.12		360672		1134538
SH603334	丰倍生物	+2.06%		44.60		--		--		--		13.91%		1.84		--		--		--		化学制品	--		--		--		+6.17%		+1.41%		-0.34		722930		2163100
SH603335	迪生力		+2.56%		5.60		--		--		--		2.71%		1.31		--		--		--		汽车零部件	--		--		--		+0.00%		-7.59%		-0.55		132492		501200
SH603336	宏辉果蔬	+3.88%		9.10		--		--		--		2.92%		1.51		--		--		--		种植业与林业	--		--		--		+7.95%		+0.22%		-0.80		142516		920010
SH603337	杰克科技	-1.81%		43.82		--		--		--		0.61%		0.39		--		--		--		专用设备	--		--		--		+13.88%		+13.64%		-0.02		129398		955276
SH603338	浙江鼎力	-1.01%		56.76		--		--		--		0.83%		0.65		--		--		--		工程机械	--		--		--		+0.87%		-6.29%		+0.07		992674		2576904
SH603339	四方科技	-0.95%		13.60		--		--		--		4.79%		2.18		--		--		--		通用设备	--		--		--		+6.42%		+5.43%		+0.00		3313049		1482400
SH603341	龙旗科技	+1.38%		48.66		--		--		--		9.67%		1.13		--		--		--		消费电子	--		--		--		+16.38%		+7.77%		-1.69		9914619		15211116
SH603344	星德胜		+0.61%		37.81		--		--		--		10.69%		0.67		--		--		--		电机		--		--		--		+10.81%		+47.93%		-0.85		1643166		2034178
SH603345	安井食品	+3.57%		84.81		--		--		--		2.36%		1.93		--		--		--		食品加工制造	--		--		--		+3.43%		+6.30%		-0.46		391248		3485691
SH603348	文灿股份	+5.08%		20.68		--		--		--		3.13%		3.10		--		--		--		汽车零部件	--		--		--		+7.82%		+2.22%		+0.00		1247712		4124461
SH603350	安乃达		+0.47%		38.30		--		--		--		1.89%		0.75		--		--		--		电机		--		--		--		+2.57%		+1.32%		+0.10		41976		425130
SH603351	威尔药业	+0.15%		26.70		--		--		--		0.56%		0.93		--		--		--		化学制药	--		--		--		+4.17%		-0.07%		-0.45		76966		162870
SH603353	和顺石油	-4.23%		27.87		--		--		--		5.39%		0.75		--		--		--		石油加工贸易	--		--		--		+8.78%		-10.53%		-2.06		2231550		4244601
SH603355	莱克电气	-3.74%		31.66		--		--		--		0.68%		1.05		--		--		--		小家电		--		--		--		+8.02%		-7.70%		-0.67		84942		671192
SH603356	华菱精工	-1.47%		15.41		--		--		--		12.77%		4.09		--		--		--		专用设备	--		--		--		+7.69%		+12.32%		-0.32		3462539		4263947
SH603357	设计总院	+0.49%		8.22		--		--		--		0.47%		0.64		--		--		--		建筑装饰	--		--		--		+2.24%		-0.24%		-0.12		128269		402320
SH603358	华达科技	+0.48%		51.80		--		--		--		1.28%		1.19		--		--		--		汽车零部件	--		--		--		+20.52%		+20.27%		+0.00		360850		1196580
SH603359	东珠生态	+5.61%		9.60		--		--		--		12.04%		0.96		--		--		--		环境治理	--		--		--		+19.11%		+4.58%		-0.11		1001524		4204800
SH603360	百傲化学	+1.43%		32.54		--		--		--		1.67%		1.12		--		--		--		农化制品	--		--		--		+11.44%		-6.22%		-0.09		1205080		2531612
SH603363	傲农生物	-0.22%		4.50		--		--		--		1.87%		0.97		--		--		--		农产品加工	--		--		--		-3.85%		-8.35%		+0.00		589457		3991500
SH603365	水星家纺	+0.54%		20.30		--		--		--		0.65%		0.56		--		--		--		服装家纺	--		--		--		+1.10%		-1.55%		-0.74		74148		326830
SH603366	日出东方	+0.52%		9.67		--		--		--		2.39%		1.01		--		--		--		厨卫电器	--		--		--		-4.73%		-0.62%		-0.52		804837		3491837
SH603367	辰欣药业	+0.88%		18.43		--		--		--		2.44%		0.94		--		--		--		化学制药	--		--		--		+3.48%		+1.65%		+0.11		802931		1260612
SH603368	柳药集团	-0.33%		18.34		--		--		--		1.50%		0.97		--		--		--		医药商业	--		--		--		+1.21%		+2.00%		+0.00		546480		768446
SH603369	今世缘		+0.68%		35.41		--		--		--		0.56%		1.41		--		--		--		白酒		--		--		--		+0.51%		+0.83%		-0.28		420840		4282769
SH603370	华新精科	+1.47%		48.21		--		--		--		4.61%		1.18		--		--		--		电机		--		--		--		+4.44%		+6.12%		+0.00		223297		631551
SH603373	安邦护卫	+0.78%		39.84		--		--		--		3.16%		0.77		--		--		--		其他社会服务	--		--		--		+5.73%		-10.97%		+0.68		449740		661344
SH603375	盛景微		+0.74%		38.00		--		--		--		2.62%		1.02		--		--		--		半导体		--		--		--		+4.71%		-1.17%		-1.03		328504		741000
SH603376	大明电子	-0.24%		38.07		--		--		--		7.78%		0.85		--		--		--		汽车零部件	--		--		--		+0.00%		-9.68%		-0.42		1147600		970785
SH603378	亚士创能	+2.82%		6.93		--		--		--		1.84%		0.88		--		--		--		建筑材料	--		--		--		+4.37%		-4.15%		-0.59		181570		641718
SH603379	三美股份	-2.27%		58.96		--		--		--		0.97%		0.88		--		--		--		化学制品	--		--		--		+0.27%		+4.87%		+0.02		971474		5383048
SH603380	易德龙		-0.51%		38.65		--		--		--		1.84%		0.86		--		--		--		消费电子	--		--		--		+0.70%		+5.98%		-0.77		158055		2206915
SH603381	永臻股份	+0.64%		20.54		--		--		--		2.19%		1.00		--		--		--		光伏设备	--		--		--		+3.11%		+2.70%		-0.34		166788		951002
SH603382	海阳科技	-0.30%		32.92		--		--		--		10.50%		0.53		--		--		--		化学纤维	--		--		--		+3.20%		+5.85%		-0.76		1858059		4608537
SH603383	顶点软件	+0.83%		37.88		--		--		--		2.39%		0.88		--		--		--		软件开发	--		--		--		+5.75%		-1.38%		-0.43		744459		2435684
SH603385	惠达卫浴	+1.95%		6.81		--		--		--		0.95%		0.77		--		--		--		家居用品	--		--		--		-0.87%		-5.55%		+0.00		146960		286701
SH603386	骏亚科技	+2.28%		15.69		--		--		--		8.13%		0.75		--		--		--		元件		--		--		--		+6.01%		-22.13%		-0.59		1427400		3727944
SH603387	基蛋生物	+0.59%		8.47		--		--		--		1.02%		0.70		--		--		--		医疗器械	--		--		--		+2.54%		+1.68%		+0.00		107776		138908
SH603390	通达电气	-1.04%		13.37		--		--		--		2.71%		0.68		--		--		--		汽车零部件	--		--		--		+3.72%		+9.41%		-0.15		192907		1794254
SH603391	力聚热能	+0.20%		65.30		--		--		--		6.32%		1.42		--		--		--		专用设备	--		--		--		-1.26%		-9.68%		+0.14		110942		130600
SH603392	万泰生物	+2.53%		46.68		--		--		--		0.43%		1.53		--		--		--		医疗器械	--		--		--		+1.59%		-2.40%		+0.02		432630		1842740
SH603393	新天然气	+1.39%		27.67		--		--		--		1.25%		1.26		--		--		--		油气开采及服务	--		--		--		+3.63%		+2.10%		+0.00		100973		1098499
SH603395	红四方		+0.47%		30.04		--		--		--		3.69%		0.97		--		--		--		农化制品	--		--		--		+1.69%		+0.20%		-0.64		326810		1027368
SH603396	金辰股份	+2.03%		35.62		--		--		--		5.25%		1.13		--		--		--		光伏设备	--		--		--		+12.26%		+2.06%		+0.11		646575		4124796
SH603399	永杉锂业	-1.51%		11.12		--		--		--		5.33%		0.94		--		--		--		能源金属	--		--		--		+1.74%		+2.02%		-0.35		1571625		4529176
SH603400	华之杰		+0.02%		54.22		--		--		--		3.67%		0.72		--		--		--		通用设备	--		--		--		+4.51%		+2.83%		-0.39		118800		1274170
SH603402	C陕旅		-6.27%		132.00		--		--		--		41.66%		0.61		--		--		--		旅游及酒店	--		--		--		--		--		-4.40		39231182	18148284
SH603406	天富龙		+0.18%		40.07		--		--		--		4.33%		0.96		--		--		--		化学纤维	--		--		--		+1.03%		+0.28%		-0.23		606632		1799143
SH603408	建霖家居	+0.23%		13.11		--		--		--		0.84%		0.58		--		--		--		家居用品	--		--		--		-3.53%		-4.86%		+0.38		173316		331683
SH603409	汇通控股	+0.38%		37.19		--		--		--		6.57%		1.00		--		--		--		汽车零部件	--		--		--		+3.31%		+8.93%		-0.35		306436		141322
SH603416	信捷电气	+10.01%		61.13		--		--		--		5.86%		2.53		--		--		--		自动化设备	--		--		--		+17.17%		+5.49%		+0.00		683511		2561347
SH603418	友升股份	-0.34%		58.71		--		--		--		5.25%		0.43		--		--		--		汽车零部件	--		--		--		+4.84%		+6.46%		-0.05		353280		1620396
SH603421	鼎信通讯	+1.67%		7.30		--		--		--		1.96%		0.80		--		--		--		通信设备	--		--		--		-13.40%		-8.86%		+0.00		326690		2157150
SH603429	集友股份	+7.44%		10.98		--		--		--		4.81%		2.84		--		--		--		包装印刷	--		--		--		+10.46%		+16.19%		-3.13		3877830		1951146
SH603439	三力制药	+0.43%		11.81		--		--		--		0.69%		1.14		--		--		--		中药		--		--		--		-0.17%		-2.64%		-0.34		229712		369653
SH603444	吉比特		+0.55%		449.27		--		--		--		2.36%		1.03		--		--		--		游戏		--		--		--		+1.53%		+1.53%		+0.00		1697840		5705729
SH603456	九洲药业	+0.80%		18.84		--		--		--		1.68%		1.15		--		--		--		医疗服务	--		--		--		+3.57%		+2.95%		+0.05		699380		1413000
SH603458	勘设股份	+5.79%		12.05		--		--		--		9.04%		0.79		--		--		--		建筑装饰	--		--		--		+42.10%		+46.06%		+0.00		1748365		9042549
SH603466	风语筑		+0.20%		10.00		--		--		--		2.54%		0.53		--		--		--		文化传媒	--		--		--		+11.48%		+4.93%		+0.70		758775		1462000
SH603477	巨星农牧	+0.75%		17.46		--		--		--		1.03%		0.77		--		--		--		养殖业		--		--		--		+2.89%		+2.22%		-0.35		455928		1543464
SH603486	科沃斯		+1.63%		82.40		--		--		--		1.12%		0.94		--		--		--		小家电		--		--		--		+4.95%		+5.12%		+0.02		1646330		7012240
SH603488	展鹏科技	+10.00%		9.57		--		--		--		14.73%		4.31		--		--		--		专用设备	--		--		--		+23.96%		+18.73%		-2.18		4894101		571329
SH603489	八方股份	-0.20%		29.59		--		--		--		1.22%		0.89		--		--		--		电机		--		--		--		+0.96%		-5.55%		-0.47		395434		952798
SH603496	恒为科技	+5.54%		29.33		--		--		--		10.44%		4.10		--		--		--		计算机设备	--		--		--		+11.14%		+3.75%		+0.04		233520		6112372
SH603499	翔港科技	+7.05%		21.87		--		--		--		4.52%		2.65		--		--		--		包装印刷	--		--		--		+7.05%		+13.26%		+0.00		175698		4183731
SH603500	祥和实业	+0.08%		12.13		--		--		--		2.48%		1.45		--		--		--		轨交设备	--		--		--		+5.39%		+6.22%		-0.25		223665		315380
SH603501	豪威集团	+1.81%		131.86		--		--		--		1.68%		1.37		--		--		--		半导体		--		--		--		+5.33%		+9.86%		-0.48		7424640		21058042
SH603505	金石资源	-1.13%		19.30		--		--		--		1.33%		0.80		--		--		--		化学制品	--		--		--		+3.21%		+7.52%		+0.00		491904		1937720
SH603506	南都物业	+1.68%		13.32		--		--		--		3.07%		1.08		--		--		--		房地产		--		--		--		+3.42%		+8.47%		-0.38		227070		876456
SH603507	振江股份	+2.29%		28.60		--		--		--		7.69%		0.68		--		--		--		风电设备	--		--		--		+18.57%		+20.17%		+0.32		2451570		4252820
SH603508	思维列控	-2.04%		26.88		--		--		--		3.33%		1.80		--		--		--		计算机设备	--		--		--		-2.57%		-9.37%		-0.40		1402029		4429824
SH603511	爱慕股份	+1.34%		15.92		--		--		--		0.54%		1.15		--		--		--		服装家纺	--		--		--		+0.06%		+0.25%		-0.57		18744		297704
SH603515	欧普照明	+1.35%		18.72		--		--		--		0.18%		0.80		--		--		--		光学光电子	--		--		--		+2.46%		+4.17%		-0.43		45975		468000
SH603516	淳中科技	-8.91%		230.10		--		--		--		5.93%		1.86		--		--		--		计算机设备	--		--		--		+6.36%		+19.85%		+2.41		37073143	37305193
SH603518	锦泓集团	-0.70%		9.86		--		--		--		3.09%		1.07		--		--		--		服装家纺	--		--		--		-2.86%		-3.80%		+0.10		278320		1137844
SH603519	立霸股份	+0.00%		12.23		--		--		--		0.74%		0.78		--		--		--		白色家电	--		--		--		+2.69%		-1.45%		-0.25		43920		256830
SH603520	司太立		+2.05%		9.96		--		--		--		3.52%		1.74		--		--		--		化学制药	--		--		--		+3.86%		+2.68%		+1.23		1438528		893412
SH603527	众源新材	-0.18%		11.09		--		--		--		2.51%		1.07		--		--		--		工业金属	--		--		--		+2.88%		+1.84%		-0.18		156369		892745
SH603528	多伦科技	+2.09%		11.22		--		--		--		9.06%		1.06		--		--		--		软件开发	--		--		--		+12.09%		+14.61%		+1.91		10484320	6353886
SH603529	爱玛科技	+0.63%		30.47		--		--		--		0.57%		1.06		--		--		--		汽车服务及其他	--		--		--		+1.40%		+2.77%		-0.13		438480		1221847
SH603530	神马电力	-0.23%		43.10		--		--		--		1.44%		0.95		--		--		--		电网设备	--		--		--		+2.55%		+3.66%		+0.32		2223342		2012770
SH603533	掌阅科技	+3.35%		25.60		--		--		--		10.27%		0.87		--		--		--		文化传媒	--		--		--		+35.31%		+30.75%		-1.90		12247200	14566400
SH603535	嘉诚国际	-0.19%		10.47		--		--		--		1.40%		0.86		--		--		--		物流		--		--		--		-7.51%		-1.13%		-1.72		1890854		1571547
SH603536	惠发食品	+2.15%		11.40		--		--		--		4.58%		1.48		--		--		--		食品加工制造	--		--		--		-4.28%		-19.61%		-0.54		269730		1779540
SH603538	美诺华		+2.44%		20.98		--		--		--		4.28%		1.68		--		--		--		化学制药	--		--		--		+6.01%		+4.07%		-0.39		346800		1466502
SH603551	奥普科技	-1.13%		11.38		--		--		--		0.98%		0.65		--		--		--		厨卫电器	--		--		--		-3.97%		-8.37%		-0.61		287144		431302
SH603556	海兴电力	-1.69%		35.38		--		--		--		0.69%		0.53		--		--		--		电网设备	--		--		--		+3.24%		+2.94%		+0.22		313809		732366
SH603558	健盛集团	+0.90%		11.17		--		--		--		1.39%		1.34		--		--		--		服装家纺	--		--		--		-1.59%		-2.70%		+0.09		203872		531692
SH603565	中谷物流	-0.89%		10.06		--		--		--		0.81%		1.02		--		--		--		港口航运	--		--		--		-4.01%		-2.33%		+0.20		554265		735386
SH603566	普莱柯		+1.90%		12.85		--		--		--		1.51%		1.52		--		--		--		养殖业		--		--		--		+1.02%		-1.46%		-0.08		71820		1656365
SH603567	珍宝岛		+1.20%		9.28		--		--		--		0.75%		1.01		--		--		--		中药		--		--		--		-4.23%		-8.03%		+0.00		143969		819424
SH603568	伟明环保	-2.40%		25.59		--		--		--		0.54%		1.14		--		--		--		环境治理	--		--		--		+2.85%		+16.90%		-0.84		2974400		3972259
SH603569	长久物流	+1.69%		7.80		--		--		--		1.08%		1.01		--		--		--		物流		--		--		--		+1.43%		+0.65%		+0.00		76700		1097460
SH603577	汇金通		+2.15%		10.94		--		--		--		4.77%		1.36		--		--		--		电网设备	--		--		--		+5.80%		+8.32%		-0.93		548537		4405538
SH603578	三星新材	+3.03%		12.26		--		--		--		1.86%		1.30		--		--		--		白色家电	--		--		--		+2.00%		-2.78%		+0.00		192780		1520240
SH603579	荣泰健康	+1.60%		27.25		--		--		--		14.23%		1.34		--		--		--		小家电		--		--		--		+18.22%		+15.81%		-1.12		24591996	7981525
SH603583	捷昌驱动	+1.53%		38.60		--		--		--		2.22%		0.88		--		--		--		自动化设备	--		--		--		+11.18%		+7.37%		-0.53		1788886		3647700
SH603585	苏利股份	+0.46%		19.45		--		--		--		2.10%		0.88		--		--		--		农化制品	--		--		--		+2.26%		+9.39%		-0.52		219564		1795235
SH603586	金麒麟		+0.00%		19.21		--		--		--		1.04%		0.65		--		--		--		汽车零部件	--		--		--		+3.73%		+4.86%		+0.00		34578		1041182
SH603587	地素时尚	+0.69%		13.09		--		--		--		0.52%		0.62		--		--		--		服装家纺	--		--		--		-0.08%		-0.76%		+0.00		188500		179333
SH603588	高能环境	+9.66%		9.08		--		--		--		10.27%		3.41		--		--		--		环境治理	--		--		--		+23.20%		+32.94%		+3.86		25813356	6064169
SH603589	口子窖		-0.92%		30.04		--		--		--		0.86%		1.84		--		--		--		白酒		--		--		--		-2.40%		+0.17%		-0.73		3560830		2340116
SH603590	康辰药业	+5.99%		44.39		--		--		--		6.55%		3.63		--		--		--		生物制品	--		--		--		+8.96%		+5.07%		+5.01		9037890		1438236
SH603596	伯特利		-3.60%		54.94		--		--		--		4.80%		1.35		--		--		--		汽车零部件	--		--		--		+7.51%		+23.27%		-0.02		6609680		16427060
SH603598	引力传媒	+4.20%		23.57		--		--		--		32.40%		2.73		--		--		--		文化传媒	--		--		--		+45.05%		+24.31%		+0.00		33264972	40064286
SH603599	广信股份	-1.48%		11.99		--		--		--		1.05%		0.94		--		--		--		农化制品	--		--		--		+6.20%		+6.20%		-0.58		376310		860882
SH603600	永艺股份	-2.11%		11.60		--		--		--		2.47%		1.50		--		--		--		家居用品	--		--		--		-5.61%		-5.38%		-0.42		132160		1143760
SH603601	再升科技	+5.19%		13.79		--		--		--		20.90%		0.94		--		--		--		建筑材料	--		--		--		+37.49%		+117.85%	-0.08		23822389	69061285
