代码		    名称		涨幅		现价		当日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额		
SH603711	香飘飘		-0.37%		13.57		5646.37万	1.01%		0.77		--		--		--		饮料制造	--		--		--		-9.23%		-9.29%		+0.07		163560		899691		
SH603712	七一二		-1.88%		21.92		--		3.88%		0.94		--		--		--		军工电子	--		--		--		+11.38%		+1.34%		-0.94		7422402		4153840		
SH603713	密尔克卫	-1.35%		59.77		--		1.13%		1.09		--		--		--		物流		--		--		--		+6.92%		+10.89%		+0.59		262085		932412		
SH603716	塞力医疗	-2.53%		24.24		--		34.28%		6.85		--		--		--		医药商业	--		--		--		+9.24%		+12.48%		+7.00		61705929	9636733		
SH603717	天域生物	-0.13%		7.80		6720.73万	2.99%		1.04		--		--		--		养殖业		--		--		--		-0.38%		-5.57%		-0.13		827580		297180		
SH603718	海利生物	-0.93%		6.39		9435.33万	2.27%		0.75		--		--		--		医疗器械	--		--		--		+0.47%		-11.25%		+0.31		648294		1318896		
SH603719	良品铺子	-0.92%		11.82		5100.75万	1.07%		1.06		--		--		--		食品加工制造	--		--		--		-4.68%		-2.96%		-0.25		96390		431430		
SH603722	阿科力		+4.29%		41.09		--		4.82%		1.38		--		--		--		化学制品	--		--		--		+10.67%		+5.49%		+0.89		1101075		1579911		
SH603725	天安新材	-0.85%		9.30		2928.81万	1.09%		1.01		26.66亿		--		--		家居用品	【装配式建筑;创投;长安汽车概念;专精特新;机器人概念;新能源汽车;比亚迪概念】	--		--		-2.11%		+0.00%		+0.43		119634		377580		
SH603726	朗迪集团	+6.99%		25.09		5.33亿		11.74%		1.71		46.34亿		--		--		白色家电	【创投;先进封装;家用电器;机器人概念;空气能热泵】	--		--		+13.94%		+9.37%		+1.28		3821375		9759709		
SH603727	博迈科		+1.45%		14.73		1.26亿		3.03%		2.44		41.50亿		--		--		油气开采及服务	【天然气;中俄贸易概念;俄乌冲突概念;京津冀一体化;一带一路;海工装备;锂电池概念;融资融券】	--		--		+6.58%		-3.98%		-0.62		392496		626025		
SH603728	鸣志电器	-0.45%		72.33		8.26亿		2.73%		0.85		302.98亿	--		--		电机		【减速器;人形机器人;同花顺新质50;智能座舱;机器人概念;新能源汽车;无人驾驶;华为概念;5G;专精特新;沪股通;融资融券】	--		--		+12.30%		+4.06%		-1.45		6144138		10531248	
SH603729	龙韵股份	-0.62%		15.98		4013.76万	2.68%		0.99		14.92亿		--		--		文化传媒	【文化传媒概念;网红经济;旅游概念;数据要素;小红书概念;抖音概念(字节概念);华为概念;上海自贸区】	--		--		-0.93%		-6.11%		+0.00		172056		190162		
SH603730	岱美股份	+1.72%		8.89		2.48亿		1.31%		0.86		191.01亿	--		--		汽车零部件	【上海自贸区;长安汽车概念;人民币贬值受益;新能源汽车;特斯拉概念;比亚迪概念;沪股通;融资融券】	--		--		+9.75%		+9.21%		-0.57		381491		1265936		
SH603733	仙鹤股份	-0.65%		24.52		7053.67万	0.41%		0.73		173.53亿	--		--		造纸		【参股券商;回购增持再贷款概念;医疗器械概念;固废处理;绿色电力;烟草;碳交易;超级电容;融资融券;沪股通】	--		--		+7.78%		+6.29%		-0.04		434192		1449132		
SH603737	三棵树		-0.28%		47.00		1.38亿		0.39%		1.07		346.77亿	--		--		建筑材料	【DeepSeek概念;商业航天;沪股通;海峡两岸;融资融券】	--		--		+5.83%		+3.14%		+0.00		212085		2284200		
SH603738	泰晶科技	+0.00%		16.10		2.28亿		3.67%		1.14		62.13亿		--		--		元件		【WiFi 6;5G;华为海思概念股;华为概念;数据中心;卫星导航;无人机;共封装光学(CPO);芯片概念;光刻机;人形机器人;汽车电子;智能穿戴;机器人概念;消费电子概念;军工;汽车芯片;专精特新;AI眼镜;无人驾驶;MCU芯片;智能座舱;比亚迪概念;创投;宁德时代概念;融资融券;沪股通】	--		--		+3.87%		-6.29%		+0.50		864012		1964200		
SH603739	蔚蓝生物	-2.10%		14.46		1.09亿		2.96%		1.68		36.59亿		--		--		化学制品	【合成生物;动物疫苗;代糖概念;宠物经济;禽流感;CRO概念;食品安全;流感;幽门螺杆菌概念;化肥;土壤修复;人工智能】	--		--		+0.35%		-1.90%		-0.68		1844019		621780		
SH603755	日辰股份	-2.05%		37.71		5176.61万	1.38%		0.52		37.19亿		--		--		食品加工制造	【人工智能;预制菜】	--		--		+12.57%		+8.86%		-0.29		214984		1436751		
SH603757	大元泵业	+4.81%		47.09		7.83亿		9.07%		1.30		87.85亿		--		--		通用设备	【液冷服务器;空气能热泵;新能源汽车;数据中心;燃料电池;储能;专精特新;高端装备;氢能源;核电;水利;海工装备;沪股通;商业航天】	--		--		-2.00%		+25.31%		-0.51		2860800		14244725	
SH603758	秦安股份	+0.23%		17.12		9374.21万	1.25%		0.72		75.12亿		--		--		汽车零部件	【长安汽车概念;新能源汽车;人形机器人;消费电子概念;传感器;西部大开发;沪股通;融资融券】	--		--		-6.60%		-10.18%		-0.06		189477		941600		
SH603759	海天股份	+0.28%		10.64		6849.28万	1.40%		0.95		49.13亿		--		--		环境治理	【生物质能发电;固废处理;绿色电力;污水处理;PPP概念;光伏概念;储能;一带一路;BC电池;西部大开发;TOPCON电池;HJT电池;回购增持再贷款概念;无人机;金属铜;DeepSeek概念;股权转让(并购重组)】	--		--		+3.60%		+0.09%		+0.00		386204		717136		
SH603766	隆鑫通用	-0.57%		15.80		2.49亿		0.76%		0.83		324.46亿	--		--		汽车服务及其他	【2025三季报预增;航空发动机;军工;西部大开发;乡村振兴;农机;沪股通;融资融券;DeepSeek概念;人民币贬值受益;两轮车;充电桩;新能源汽车;储能;高压快充;股权转让(并购重组)】	--		--		+0.64%		+2.93%		-0.57		943260		5020529		
SH603767	中马传动	-2.51%		23.68		2.73亿		3.71%		0.78		73.08亿		--		--		汽车零部件	【农机;减速器;长安汽车概念;乡村振兴;共同富裕示范区;新能源汽车;沪股通】	--		--		-0.38%		-0.34%		-0.04		2338164		5545856		
SH603768	常青股份	-1.28%		11.54		2380.66万	0.86%		1.12		27.46亿		--		--		汽车零部件	【一体化压铸;长安汽车概念;华为汽车;新能源汽车;比亚迪概念;锂电池概念;宁德时代概念】	--		--		-0.60%		-2.70%		+0.00		203406		251572		
SH603773	沃格光电	-1.86%		34.74		3.65亿		4.69%		0.67		78.02亿		--		--		光学光电子	【柔性屏(折叠屏);6G概念;MicroLED概念;智能穿戴;MiniLED;汽车电子;卫星导航;消费电子概念;OLED;商业航天;先进封装;小米概念;PET铜箔;芯片概念;华为概念;存储芯片;共封装光学(CPO);光刻机;钙钛矿电池;沪股通】	--		--		+6.63%		+7.35%		-1.24		3894544		3355884		
SH603776	永安行		+0.82%		18.42		1.01亿		1.94%		1.39		51.72亿		--		--		汽车服务及其他	【共享单车;养老概念;旅游概念;蚂蚁集团概念;无人驾驶;两轮车;物联网;机器人概念;氢能源;燃料电池;芯片概念;沪股通;存储芯片;股权转让(并购重组);融资融券】	--		--		+0.33%		-2.28%		+0.44		354155		392346		
SH603777	来伊份		-1.45%		13.64		1.20亿		2.63%		0.71		45.62亿		--		--		食品加工制造	【IP经济(谷子经济);白酒概念;智能物流;人工智能;腾讯概念;融资融券】	--		--		-6.51%		+0.37%		-0.07		295962		1748648		
SH603778	国晟科技	--		--		0.00		0.00%		0.00		136.93亿	2		--		光伏设备	【HJT电池;TOPCON电池;钙钛矿电池;硅能源;固态电池;新型城镇化;锂电池概念;光伏概念;PPP概念;虚拟电厂;储能】	--		--		+69.05%		+65.37%		--		--		--		
SH603779	威龙股份	-1.39%		6.38		4101.15万	1.93%		1.30		21.19亿		--		--		饮料制造	【乡村振兴;农业种植;白酒概念】	--		--		-3.92%		-6.45%		-0.31		286380		145464		
SH603786	科博达		+0.29%		83.48		2.94亿		0.87%		0.62		337.14亿	--		--		汽车零部件	【汽车电子;传感器;无人驾驶;比亚迪概念;新能源汽车;专精特新;融资融券;沪股通】	--		--		+11.60%		+13.39%		-0.41		1906700		1168720		
SH603787	新日股份	-1.99%		13.29		8277.63万	2.70%		0.92		30.59亿		--		--		汽车服务及其他	【共享单车;职业教育;DeepSeek概念;两轮车;华为概念;比亚迪概念】	--		--		+1.61%		-3.20%		+0.22		318006		595392		
SH603788	宁波高发	-0.42%		16.50		3473.06万	0.94%		1.11		36.81亿		--		--		汽车零部件	【医疗器械概念;小米汽车;新能源汽车;比亚迪概念;特斯拉概念;小米概念】	--		--		+1.54%		+1.48%		+0.84		324174		57750		
SH603790	雅运股份	-0.30%		20.08		4034.66万	1.04%		0.91		38.43亿		--		--		化学制品	【染料;换电概念;股权转让(并购重组)】	--		--		+0.90%		+2.19%		-0.20		58290		202808		
SH603797	联泰环保	-0.62%		4.82		2330.49万	0.84%		0.65		27.79亿		--		--		环境治理	【新型城镇化;PPP概念;污水处理;粤港澳大湾区】	--		--		+1.69%		-1.23%		-0.41		61341		101124		
SH603798	康普顿		+0.61%		16.48		8396.72万	1.98%		0.60		42.26亿		--		--		石油加工贸易	【燃料电池;回购增持再贷款概念;氢能源;军工;军民融合】	--		--		+7.43%		+9.57%		+0.12		177120		1560656		
SH603799	华友钴业	+5.03%		77.19		85.57亿		5.84%		1.41		1454.32亿	--		--		能源金属	【金属钴;金属镍;金属铜;盐湖提锂;小金属概念;动力电池回收;磷化工;钠离子电池;固态电池;金属回收;锂电池概念;宁德时代概念;同花顺漂亮100;特斯拉概念;比亚迪概念;储能;人形机器人;新能源汽车;回购增持再贷款概念;飞行汽车(eVTOL);俄乌冲突概念;沪股通;人民币贬值受益;长三角一体化;融资融券】	--		--		+17.65%		+20.35%		+3.55		127310734	51271142	
SH603800	洪田股份	+1.07%		50.09		2.93亿		2.85%		1.18		104.19亿	--		--		专用设备	【PET铜箔;光刻机;固态电池;芯片概念;机器视觉;锂电池概念;海工装备;页岩气;天然气;沪股通;融资融券】	--		--		-7.05%		+7.08%		+0.08		322400		1938483		
SH603801	志邦家居	-0.22%		9.24		3262.04万	0.81%		1.26		40.13亿		--		--		家居用品	【智能家居;工业互联网;阿里巴巴概念;沪股通】	--		--		-0.11%		-0.54%		+0.00		232426		263340		
SH603803	瑞斯康达	+4.47%		11.68		5.10亿		10.19%		1.83		49.63亿		--		--		通信设备	【F5G概念;WiFi 6;6G概念;5G;智慧城市;东数西算(算力);数据安全;物联网;网络安全;量子科技;车联网(车路协同);数据中心;无人驾驶;共封装光学(CPO);新型城镇化;芯片概念;工业互联网;智能电网;新型工业化;融资融券】	--		--		-3.63%		+1.65%		-0.54		1015256		5106496		
SH603806	福斯特		-0.35%		14.25		2.84亿		0.76%		0.90		371.75亿	--		--		光伏设备	【BC电池;HJT电池;光伏概念;POE胶膜;储能;固态电池;PCB概念;沪股通;融资融券】	--		--		+6.74%		+2.44%		+0.00		787930		2889658		
SH603808	歌力思		+0.23%		8.56		7009.63万	2.24%		1.15		31.59亿		--		--		服装家纺	【C2M概念;网红经济;NFT概念;粤港澳大湾区;人工智能;虚拟数字人】	--		--		+1.30%		+0.35%		-0.35		199134		999808		
SH603809	豪能股份	+0.21%		14.19		6.11亿		4.68%		0.60		130.59亿	--		--		汽车零部件	【减速器;人形机器人;成飞概念;华为汽车;航空发动机;小米汽车;长安汽车概念;机器人概念;特斯拉概念;大飞机;无人机;新能源汽车;商业航天;军民融合;比亚迪概念;军工;卫星导航;专精特新;高铁;水利;西部大开发;融资融券;沪股通】	--		--		+12.09%		+5.90%		-0.99		8125978		7202064		
SH603810	丰山集团	-4.17%		16.07		9661.97万	3.61%		2.39		26.57亿		--		--		农化制品	【钠离子电池;合成生物;钒电池;锂电池概念;固态电池;创投】	--		--		-0.31%		-4.06%		-1.37		4080418		544773		
SH603811	诚意药业	+0.55%		10.97		7235.73万	2.01%		1.28		35.91亿		--		--		化学制药	【仿制药一致性评价;肝炎概念;流感;猴痘概念;维生素;医药电商;医疗器械概念;回购增持再贷款概念】	--		--		+1.11%		-0.18%		+0.18		36069		190878		
SH603815	交建股份	+0.13%		7.62		1.40亿		2.95%		0.85		47.16亿		--		--		建筑装饰	【地下管网;新型城镇化;乡村振兴;PPP概念;水利;一带一路;沪股通】	--		--		-4.39%		-29.90%		+0.13		1358646		1424940		
SH603816	顾家家居	-0.84%		31.70		1.15亿		0.44%		0.66		257.46亿	--		--		家居用品	【跨境电商;智能家居;沪股通;融资融券】	--		--		+3.16%		+4.52%		+0.09		304000		2960780		
SH603817	海峡环保	-0.84%		7.09		1.48亿		3.65%		1.10		40.42亿		--		--		环境治理	【海峡两岸;福建自贸区;垃圾分类;污水处理;PPP概念;固废处理;绿色电力;国企改革】	--		--		-6.34%		-14.27%		+0.00		343915		3216024		
SH603818	曲美家居	-1.63%		3.62		4342.45万	1.74%		0.94		24.85亿		--		--		家居用品	【京津冀一体化;智能家居;海峡两岸;人民币贬值受益】	--		--		-2.43%		-6.46%		+0.00		591376		117650		
SH603819	神力股份	-0.08%		11.96		4378.14万	1.68%		0.51		26.04亿		--		--		电机		【安防;风电;新能源汽车;股权转让(并购重组)】	--		--		+7.17%		+4.36%		-0.42		40528		208104		
SH603823	百合花		+0.38%		15.76		1.29亿		1.98%		1.30		64.78亿		--		--		化学制品	【光刻胶;钠离子电池;沪股通】	--		--		-0.94%		-2.05%		+0.83		156717		780120		
SH603826	坤彩科技	-1.26%		17.28		4818.64万	0.42%		0.90		113.22亿	--		--		非金属材料	【钛白粉概念;福建自贸区;海峡两岸;专精特新;沪股通;融资融券】	--		--		+0.88%		+0.64%		+0.00		325500		535680		
SH603829	洛凯股份	+2.20%		22.76		2.84亿		6.74%		1.50		42.39亿		--		--		电网设备	【智能电网;储能;光伏概念】	--		--		-16.96%		-22.85%		-0.22		1319868		3536312		
SH603833	欧派家居	-0.70%		52.61		1.38亿		0.43%		0.87		320.48亿	--		--		家居用品	【C2M概念;智能家居;同花顺漂亮100;沪股通;融资融券】	--		--		+0.65%		+0.55%		-0.15		338560		1893960		
SH603836	海程邦达	-1.37%		13.65		5479.66万	1.95%		0.90		28.01亿		--		--		物流		【中韩自贸区;统一大市场;航运概念;冷链物流;跨境电商;中俄贸易概念;一带一路;智能物流;数字经济;数据要素;拼多多概念;AI智能体;无人驾驶;小米概念】	--		--		-4.68%		-8.70%		-0.43		367926		333060		
SH603839	安正时尚	-1.46%		8.12		3458.37万	1.09%		0.69		31.59亿		--		--		服装家纺	【网红经济;三胎概念;跨境电商;长三角一体化;抖音概念(字节概念)】	--		--		+0.25%		+1.00%		+0.24		124726		393008		
SH603848	好太太		-0.32%		18.67		4022.73万	0.53%		0.90		75.13亿		--		--		家居用品	【家用电器;阿里巴巴概念;智能家居;沪股通】	--		--		-1.79%		-1.94%		+0.69		294216		586238		
SH603855	华荣股份	-1.25%		19.72		5735.03万	0.86%		0.90		66.17亿		--		--		专用设备	【新疆振兴;机器人概念;核电;无人驾驶;军工;5G;沪股通】	--		--		+2.60%		+0.56%		+0.15		630000		867680		
SH603856	东宏股份	+0.40%		12.58		2917.02万	0.82%		0.81		35.48亿		--		--		建筑材料	【地下管网;新型城镇化;新疆振兴;乡村振兴;水利;一带一路;氢能源;军工;抽水蓄能】	--		--		+1.04%		-1.02%		+0.64		40352		293114		
SH603858	步长制药	+0.00%		16.30		1.02亿		0.59%		0.93		171.89亿	--		--		中药		【流感;生物疫苗;肝炎概念;医药电商;仿制药一致性评价;创新药;医美概念;医疗器械概念;参股银行;回购增持再贷款概念;融资融券;沪股通】	--		--		-0.37%		-3.38%		-0.49		1682014		1110030		
SH603859	能科科技	-1.76%		44.00		6.93亿		6.46%		1.00		107.67亿	--		--		IT服务		【智谱AI;ChatGPT概念;信创;AI智能体;云计算;AIGC概念;军工信息化;数据要素;华为概念;东数西算(算力);商业航天;人形机器人;5G;航空发动机;新型工业化;人工智能;数字孪生;大飞机;DeepSeek概念;军民融合;军工;数字经济;比亚迪概念;工业互联网;高端装备;京津冀一体化;核电;沪股通】	--		--		+11.59%		+9.10%		-1.54		10643447	8879200		
SH603860	中公高科	-0.59%		30.26		3863.10万	1.91%		1.41		20.18亿		--		--		建筑装饰	【数字经济;乡村振兴;人工智能;数字乡村;国企改革;专精特新;国资云;AI智能体;中字头股票】	--		--		+1.82%		-1.82%		-0.13		106400		347990		
SH603861	白云电器	+1.72%		12.99		3.17亿		4.55%		1.44		68.66亿		--		--		电网设备	【柔性直流输电;特高压;智能电网;光伏概念;储能;宁德时代概念;核电;华为数字能源;新能源汽车;一带一路;数据中心;东数西算(算力);华为概念;沪股通】	--		--		+9.53%		+11.60%		-0.47		1459108		2430429		
SH603863	松炀资源	-2.04%		19.24		1.61亿		4.07%		0.85		39.37亿		--		--		造纸		【粤港澳大湾区】	--		--		-5.92%		-3.61%		-0.36		1023511		1471860		
SH603866	桃李面包	-0.56%		5.32		6437.96万	0.76%		0.99		85.11亿		--		--		食品加工制造	【绿色电力;沪股通;融资融券】	--		--		-2.21%		-2.03%		+0.00		350960		611800		
SH603867	新化股份	-1.39%		25.55		1.12亿		2.02%		0.96		55.11亿		--		--		化学制品	【动力电池回收;磷化工;盐湖提锂;烟草;消毒剂;污水处理;沪股通;融资融券】	--		--		+1.23%		-3.33%		+0.23		228536		277269		
SH603868	飞科电器	+0.50%		42.29		8126.47万	0.44%		0.45		184.22亿	--		--		小家电		【家用电器;短剧游戏;沪股通;融资融券】	--		--		+15.89%		+20.76%		-0.14		415998		921922		
SH603871	嘉友国际	-2.34%		13.76		1.75亿		0.92%		1.58		188.24亿	--		--		物流		【PPP概念;中俄贸易概念;一带一路;冷链物流;统一大市场;智能物流;沪股通;融资融券】	--		--		-2.62%		+7.33%		+0.21		254160		1352608		
SH603876	鼎胜新材	-2.49%		15.65		6.21亿		4.24%		0.70		145.43亿	--		--		工业金属	【钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;沪股通;融资融券】	--		--		+19.56%		+14.23%		-0.62		8546010		3853030		
SH603877	太平鸟		+9.98%		16.31		2.36亿		3.14%		5.47		76.55亿		--		--		服装家纺	【共同富裕示范区;回购增持再贷款概念;沪股通;融资融券】	--		--		+7.09%		-0.43%		+0.13		277695		53823		
SH603878	武进不锈	-0.87%		7.95		3.33亿		7.46%		1.28		44.61亿		--		--		钢铁		【光热发电;海工装备;超超临界发电;核电;氢能源】	--		--		-19.86%		-26.32%		-0.25		3528800		3386700		
SH603879	永悦科技	-1.41%		7.01		2.22亿		8.83%		0.50		25.19亿		--		--		塑料制品	【低空经济;海峡两岸;无人机;农机;机器人概念;摘帽】	--		--		+22.13%		+16.25%		-1.27		822042		2342041		
SH603880	南卫股份	-1.47%		6.04		3353.04万	1.91%		1.03		17.46亿		--		--		医疗器械	【医疗器械概念】	--		--		-5.33%		-12.08%		+0.00		187885		642052		
SH603881	数据港		+3.80%		33.05		20.08亿		8.56%		2.17		237.42亿	--		--		通信服务	【算力租赁;东数西算(算力);液冷服务器;腾讯概念;数据中心;百度概念;阿里巴巴概念;云计算;中国AI 50;国资云;蚂蚁集团概念;国企改革;沪股通;融资融券】	--		--		+11.88%		+2.45%		+0.31		4299124		25293165	
SH603882	金域医学	-2.47%		29.59		2.30亿		1.67%		1.31		136.15亿	--		--		医疗服务	【智能医疗;基因测序;AIGC概念;细胞免疫治疗;AI智能体;数据要素;医疗器械概念;DeepSeek概念;人工智能;腾讯概念;肝炎概念;食品安全;幽门螺杆菌概念;冷链物流;华为概念;机器人概念;融资融券;沪股通】	--		--		+4.89%		+3.68%		-0.53		350088		2441175		
SH603883	老百姓		-0.86%		14.99		1.18亿		1.04%		0.97		113.76亿	--		--		医药商业	【医药电商;养老概念;医疗器械概念;智能医疗;腾讯概念;沪股通;融资融券】	--		--		-2.73%		-5.90%		+0.13		334594		1671385		
SH603885	吉祥航空	-0.72%		15.15		2.94亿		0.89%		0.75		330.88亿	--		--		机场航运	【上海自贸区;沪股通;融资融券】	--		--		+8.91%		+9.47%		-0.07		1061400		1611551		
SH603886	元祖股份	-0.87%		13.65		8218.08万	2.51%		0.61		32.76亿		--		--		食品加工制造	【IP经济(谷子经济);海峡两岸;长三角一体化】	--		--		-2.99%		-2.50%		-0.29		556065		801255		
SH603887	城地香江	+2.92%		14.44		3.74亿		4.38%		3.08		85.96亿		--		--		通信服务	【算力租赁;东数西算(算力);华为概念;抖音概念(字节概念);腾讯概念;阿里巴巴概念;数据中心;液冷服务器;PPP概念;融资融券;沪股通;股权转让(并购重组)】	--		--		+6.73%		-3.99%		+0.14		455220		3360188		
SH603888	新华网		-1.02%		20.43		3.13亿		2.26%		1.23		137.85亿	--		--		文化传媒	【AI语料;Sora概念(文生视频);AIGC概念;虚拟数字人;Web3.0;知识产权保护;多模态AI;AI智能体;在线教育;文化传媒概念;数据确权;云计算;数据要素;数据安全;阿里巴巴概念;元宇宙;区块链;DeepSeek概念;数字经济;人工智能;京津冀一体化;创投;乡村振兴;国企改革;沪股通;融资融券】	--		--		+7.30%		+4.34%		-0.39		2115624		2434030		
SH603889	新澳股份	-0.64%		7.74		8012.13万	1.42%		1.21		56.09亿		--		--		纺织制造	【长三角一体化;工业互联网;沪股通】	--		--		+3.61%		+0.52%		-0.13		494030		867654		
SH603890	春秋电子	-0.72%		16.51		4.55亿		6.03%		0.95		75.28亿		--		--		消费电子	【AI PC;富士康概念;F5G概念;AI眼镜;5G;消费电子概念;汽车电子;比亚迪概念;特斯拉概念;人形机器人;小米汽车;华为概念;新能源汽车;机器人概念;华为汽车;人民币贬值受益;沪股通;融资融券】	--		--		+3.90%		+0.06%		-0.18		3431220		3899662		
SH603893	瑞芯微		-0.23%		187.56		18.38亿		2.32%		1.14		789.31亿	--		--		半导体		【中国AI 50;智能音箱;汽车芯片;国家大基金持股;AI眼镜;MCU芯片;智能穿戴;智能座舱;人形机器人;小米概念;消费电子概念;芯片概念;虚拟现实;腾讯概念;机器视觉;百度概念;华为概念;机器人概念;物联网;人工智能;比亚迪概念;智能家居;电力物联网;福建自贸区;海峡两岸;2025三季报预增;融资融券;沪股通】	--		--		+6.77%		+3.91%		+0.00		8986400		14592168	
SH603895	天永智能	+5.19%		30.18		1.33亿		4.14%		2.11		32.62亿		--		--		专用设备	【长安汽车概念;华为概念;数字孪生;机器人概念;新能源汽车;人形机器人;新型工业化;特斯拉概念;工业互联网;专精特新;锂电池概念;储能;固态电池】	--		--		+7.79%		+6.08%		+0.80		228468		1361118		
SH603896	寿仙谷		-0.05%		19.55		2586.99万	0.67%		1.14		38.76亿		--		--		中药		【医药电商;维生素;养老概念;农业种植;工业大麻;旅游概念;数字经济;工业互联网;沪股通】	--		--		-0.20%		-1.46%		-0.36		165665		123165		
SH603897	长城科技	+0.78%		27.02		1.22亿		2.18%		0.95		55.78亿		--		--		电网设备	【新能源汽车;比亚迪概念;工业互联网;机器人概念;一带一路;沪股通;融资融券】	--		--		+1.96%		+4.69%		-0.34		579824		1115926		
SH603898	好莱客		+0.00%		13.82		6639.53万	1.54%		0.48		43.03亿		--		--		家居用品	【IP经济(谷子经济);智能家居】	--		--		+2.45%		-4.56%		+0.00		641248		986748		
SH603899	晨光股份	-1.02%		27.30		9742.13万	0.39%		0.83		251.42亿	--		--		家居用品	【超级品牌;IP经济(谷子经济);智能物流;沪股通;融资融券】	--		--		-2.26%		-1.12%		+0.00		408184		1616160		
SH603900	莱绅通灵	-1.50%		8.54		6057.63万	2.07%		1.07		29.19亿		--		--		服装家纺	【黄金概念;IP经济(谷子经济);股权转让(并购重组)】	--		--		-6.77%		-4.15%		-0.46		277886		574742		
SH603901	永创智能	+1.25%		14.57		1.36亿		1.92%		0.74		71.05亿		--		--		专用设备	【新型工业化;机器人概念;人形机器人;机器视觉;沪股通】	--		--		+5.20%		+4.74%		-0.35		318348		1621641		
SH603903	中持股份	-6.97%		12.68		2.67亿		8.08%		1.83		32.37亿		--		--		环境治理	【PPP概念;雄安新区;污水处理;京津冀一体化;氢能源;股权转让(并购重组)】	--		--		-13.80%		-18.93%		-3.01		2629458		3366540		
SH603906	龙蟠科技	-1.91%		20.54		7.97亿		6.81%		1.06		116.07亿	--		--		电池		【磷化工;钠离子电池;动力电池回收;固态电池;锂电池概念;宁德时代概念;储能;燃料电池;氢能源;液冷服务器;比亚迪概念;新能源汽车;一带一路;数据中心;数字经济;无人机;融资融券;沪股通】	--		--		+6.70%		-2.19%		-1.00		5646852		9257378		
SH603908	牧高笛		-1.19%		23.32		2915.43万	1.33%		1.04		21.72亿		--		--		服装家纺	【露营经济;体育产业;跨境电商;共同富裕示范区;一带一路;融资融券】	--		--		-1.40%		-4.82%		+0.08		30706		300828		
SH603909	建发合诚	+0.62%		11.29		6119.67万	2.09%		1.17		29.43亿		--		--		建筑装饰	【福建自贸区;海峡两岸;房屋检测;新型城镇化;新疆振兴;水利;智慧城市;国企改革;人工智能】	--		--		-2.50%		-19.93%		+0.09		386312		499018		
SH603912	佳力图		+0.81%		8.73		1.24亿		2.63%		1.48		47.30亿		--		--		通用设备	【液冷服务器;数据中心;腾讯概念;5G;华为概念;算力租赁;抖音概念(字节概念);阿里巴巴概念;百度概念;专精特新】	--		--		+4.93%		+5.82%		-0.46		258600		1283310		
SH603915	国茂股份	+0.22%		18.02		1.68亿		1.42%		0.75		118.33亿	--		--		通用设备	【减速器;人形机器人;机器人概念;高端装备;海工装备;水利;光伏建筑一体化;固废处理;融资融券;沪股通】	--		--		+6.63%		+4.34%		-0.11		1178176		1578552		
SH603916	苏博特		+4.98%		10.32		3.33亿		7.64%		5.72		43.38亿		--		--		化学制品	【建筑节能;房屋检测;水利;雅下水电概念;风电;核电;抽水蓄能;可控核聚变;融资融券】	--		--		+7.50%		+8.18%		+0.00		264427		2889259		
SH603917	合力科技	-1.93%		14.22		1.14亿		3.91%		0.85		28.99亿		--		--		汽车零部件	【长三角一体化;一体化压铸;小米汽车;新能源汽车;比亚迪概念;宁德时代概念】	--		--		-4.31%		-3.20%		+0.14		177144		1709244		
SH603918	金桥信息	-0.86%		16.05		1.57亿		2.67%		0.72		58.60亿		--		--		IT服务		【云办公;Web3.0;AIGC概念;在线教育;信创;抖音概念(字节概念);智慧政务;数据确权;阿里巴巴概念;区块链;蚂蚁集团概念;DeepSeek概念;人工智能;智能医疗;互联网金融;华为概念;机器视觉;机器人概念;化债概念(AMC概念);上海自贸区;融资融券;沪股通】	--		--		+4.29%		-0.12%		-0.19		405616		1571295		
SH603919	金徽酒		+0.38%		21.00		1.10亿		1.04%		1.36		106.52亿	--		--		白酒		【白酒概念;啤酒概念;西部大开发;回购增持再贷款概念;沪股通;融资融券】	--		--		+5.47%		+4.69%		-0.53		742917		1199100		
SH603920	世运电路	+0.00%		53.22		20.33亿		5.32%		0.83		383.50亿	--		--		元件		【共封装光学(CPO);人形机器人;智能座舱;毫米波雷达;PCB概念;汽车电子;特斯拉概念;AI眼镜;5G;无人驾驶;新能源汽车;飞行汽车(eVTOL);数据中心;机器人概念;东数西算(算力);OLED;无人机;充电桩;储能;低空经济;人民币贬值受益;粤港澳大湾区;光伏概念;国企改革;脑机接口;股权转让(并购重组);融资融券;沪股通】	--		--		+24.64%		+29.84%		-0.41		28604100	14439331	
SH603922	金鸿顺		-4.30%		18.47		1.68亿		5.05%		1.21		33.10亿		--		--		汽车零部件	【新能源汽车;动力电池回收】	--		--		-4.70%		-5.67%		-0.16		1637950		2883167		
SH603926	铁流股份	-0.94%		16.86		6090.56万	1.56%		0.55		38.92亿		--		--		汽车零部件	【农机;长安汽车概念;机器人概念;新能源汽车;燃料电池】	--		--		+6.57%		+8.99%		-0.12		108800		843000		
